text,label

" Unable to complete DELEGORD task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error Message ReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Service Item is not on order for document number . Error Code Service Item is not on order for document number . Error Code Miscellaneous Error Unable to copy item to the order as the Service Item is on another open PSR Order. The Preference to Copy Pending PSR Items is set to No.Error Code Service Item is not on order for document number . PSR ",Delegation

" PSR locked by another user, Telephone , Error Message This order is already open by at PSR ",Training

" PSR locked by another user, Telephone , Error Message This order is already open by at PSR ",Training

" Unable to complete BBDES task . Getting below error message. Task in EXCEPTION Work Queue, Telephone , Error Messagev_return_cd - v_return_textORA- exact fetch returns more than requested number of rows ORA- exact fetch returns more than requested number of rows PSR ",Data

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. PSR ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. THE PHYSICAL CIRCUIT IS NOT ASSIGNED TO THE PORT ",Training

" Unable to complete DD task. Task in BB COMP Work Queue, Telephone , Error Message Unable to complete BB COMP In HWIN, NGMSS BB COMP shows already completed status. PSR ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. ISR GROOM CIRCUIT REMOVAL ",Training

" Unable to complete BBDES task . Getting below error message. Task in EXCEPTION Work Queue, Telephone , Error Message v_return_cd - v_return_textORA- The MSS Exchange is not found on the account PSR ",Delegation

" Unable to complete PCONDES task . Getting below error message. Task in ADDASGN Work Queue, Telephone , Error MessageThis circuit has multiple pins from different DSLAMS. PSR ",Training

" PSR locked by another user, Telephone , Error Message This order is already open by at PSR ",Training

" TN= NEED TO DOWNGRADE TO SHOWING AND STUCK IN PSR, CANNOT MAKE CHANGES, UNABLE TO REMOVE LOCKS PSR ",Miscellaneous

" STUCK IN EXCEPTN; ERROR UNABLE TO CREATE DELEGATED PSR ORDER IN NGMSS TN -PINS & SPEED MB PSR ",Delegation

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. While trying to close the Design task for the ISR -OKLD which has been cancelled. We are getting the below error the Design on the row is violating the constraint. Please assist in closing the Design task. PSR -OKLD ",Training

" ORA- SP_QUALIFY_DUALQUAL ORA- selected product not qualified the both wire_centers ",Training

" Unable to complete DD task . Getting below error message. Task in BBCOMP Work Queue, Telephone , Error Messageunable to complete BBCOmp in HWIN PSR ",Training

" UNABLE TO COMPLETE ADDASGN ReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Unable to validate item Product group . Error Code Miscellaneous Error SP_PSRAPI_UPDATE_VALUES Invalid value. Entered value does not have character length of through .Error Code Unable to validate item Product group . PSR ",Data

" Unable to complete DELEGORD task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error Message ReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Unable to validate item Product group . Error Code Missing Data servItemID is required for DISCONNECT orderitem.Error Code Unable to validate item Product group . PSR ",Delegation

" THE MSS IS NOT FOUND ON THIS ORDER PSR ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. customer is stuck in modasgn, they are working just fine at mb, the order wants to put them on the mb dynamic range which is what they qualify for. We are unable to push at any vbond speeds. at less than ft PSR ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. v_return_cd - v_return_textORA- ORA- SP_QUALIFY_DUALQUAL ORA- Selected product not qualified the both wire_centers PSR ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. customer is stuck in DSLAM queue, the order shows complete but we cannot push the order. PSR ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. stuck in DSLAM queue PSR ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. Please clear two pre-migration pending status channels correcting them to show [DS-Unassigned] off DS id JCVLFLSMH JCVLFLARH, these were from and no longer needed. Ch' , ",Data

" rd request to for this issue see INC REQ and REQ HAVE NOW DISC THE INCORRECT PSR AND IT IS STUCK NEEDS TO BE COMPLETED SO CAN DISCONNECT THIS ACCOUNT stuck in bb comp PHONE NEED TO PUSH PSR THEN DISCONNECT ACCOUNT PLEASE INCLUDE THESE NOTES IN EMAIL PSR PSR ",Training

"Alternate contact phone number for yourself, if applicable ReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Customer account has open orders or has already been disconnected. Error Code Customer account has open orders or has already been disconnected. PSR ",Delegation

"Alternate contact phone number for yourself, if applicable ERROR AN ERROR OCCURRED DURING THE CUSTOM PRE-VALIDATION PROCEDURE - DB ERROR ORA-. NO DATA FOUND PHONE -- PSR ",Data

"Alternate contact phone number for yourself, if applicable ReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Customer account has open orders or has already been disconnected. Error Code Customer account has open orders or has already been disconnected. PSR ",Data

" Unable to complete DD task. Task in BB COMP Work Queue, Telephone , Error Message The circuits for this service request are not complete. Please complete or reverse if the order has been cancelled the required engineering before completing this task. The DD on row is violating the constraint. PSR ",Training

" PSR locked by another user, Telephone , Error Message This order is already open by at PSR ",Training

" Unable to complete BBDES task . Getting below error message. Task in EXCEPTION Work Queue, Telephone , Error Message v_return_cd - v_return_textORA- The MSS Exchange is not found on the account. PSR ",Delegation

" Unable to validate PSR. Getting below error message. Task in BBCOMP Work Queue, Telephone , Error MessagePLEASE COPY EXISTING PHYSICAL SERVICES RELATED PRODUCT PSR ",Data

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. PLEASE SEE SCREENSHOT - CH groomed off this on ISR -CHCG Please update to show as Unassigned. GLYNN HAGEN, Ticket INC COMPLETED at CHCGILBE. WIN Tech Thomas Walker Cross connection completed at Beverly collocation ",Training

" Unable to complete DELEGORD task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error MessageReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Unable to validate item Product group . Error Code Missing Data servItemID is required for DISCONNECT orderitem.Error Code Unable to validate item Product group . PSR ",Delegation

" Unable to complete DELEGOCT task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error Messageexchange_carrier_circuit_id, of - already exists. Please change ecckt PSR ",Training

" UNABLE TO COMPLETE MODASGN ORA-ERROR WHILE WORKING VCONDES. ERROR ORA-SP_QUALIFY_DUALQUAL ORA-NOT ABLE TO FIND CUSTOMER ASSIGNED WIRECENTER IN NEXTGEN MSS. PSR ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. PSR ",Delegation

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. Please remove the circuit HCGS PUA DS from the ISR-WHIP PSR -WHIP ",Training

" STUCK IN BB COMP PSR ",Data

" Unable to complete DELEGDES task . Getting below error message. Task in EXCEPTION Work Queue, Telephone , Error MessageCIRCUIT DESIGN ID of not found PSR ",Delegation

" PSR locked by another user, Telephone , Error Message This order is already open by at PSR ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. Please remove the below circuit from the ISR-PHLA HCGS PUA DS HCGS PUA DS PSR -PHLA ",Data

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. ISR GROOM CIRCUIT REMOVAL ",Training

" Unable to complete ADDASGN, Telephone , Error Message The Physical Circuit is not assigned to the port. PSR ",Training

" Locked . Getting below error message. , Telephone , Error MessageBOT ID LOCKED IN HWIN. PSR ",Training

" Unable to complete DELEGORD task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error Message ReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Unable to process item Mb Product group . The Service Item had already been disconnected on another order.. Error Code The Service Item had already been disconnected on another order.Error Code Unable to process item Mb Product group . The Service Item had already been disconnected on another order.. PSR ",Delegation

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. PON PSR ACCT PSR ",Delegation

" UNABLE TO COMPLETE MODASGN ReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Unable to validate item Product group . Error Code Missing Data servItemID is required for DISCONNECT orderitem.Error Code Unable to validate item Product group . PHONE PSR ",Delegation

" MSS No valid pin assignment for Bonded customers PSR ",Training

" TRYING TO MODASGN CUST TO MB BOND. ERROR THAT MSS IS NOT SHOWING AWG. ",Data

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. getting error msg TN , the product id was not found on this order- . ",Training

" NO PROVISONING PLAN IN THE DROP DOWN BOX TO DISCONNECT CUST PSR ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. cancelled order but cannot close the DD and DLRD tasks in my queue, can you do this for me. Getting circuit error message ",Training

" UNABLE TO VALIDATE Error An Error occurred during the Custom Pre-Validation Procedure - ORA- Same TN or Customer has an Open Order in NextGen MSS. Please complete the Open Order in NextGen MSS and try to Validate in hWIN MSS. Phone PSR ",Delegation

" kicked out canceled psr will not cancel PSR ",Miscellaneous

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. -MIAM - SAVE FEATURE FOR CIRCUIT ATDT ITCD IS UNAVAILABLE AND GRAYED OUT. PLEASE MAKE SAVE FEATURE ON CIRCUIT AVAILABLE. ALSO, LATEST ISSUE OF CIRCUIT IS SHOWING RELATED TO CLOSED PSR ORDER , HOWEVER, IT SHOULD RELATED TO OPEN ISR ORDER -MIAM INSTEAD. PLEASE HELP. THANK YOU. PSR ISR -MIAM ",Data

" NO PROVISONING PLAN IN THE DROP DOWN BOX TO DISCONNECT CUSTOMER IN THE PLAN SELECTION SCREEN PSR ",Training

" CANNOT FIND THIS RECORD IN EXCEPTION QUEUE. NEEDS TO BE DISCONNECTED -- PSR ",Data

" THIS SERVICE ITEM HAS REQUIRED LABELS WITH NO VALUES. PLEASE ADD VALUES PSR ",Training

" ON , ReturnCd - - ReturnText CIRCUIT DESIGN ID of not found ECCKT BB NIEMANN, COLTON - was not delegated in pervious order historical order. PSR ",Delegation

" FOLLOW UP OF REQ HAVE NOW DISC THE INCORRECT PSR AND IT IS STUCK NEEDS TO BE COMPLETED SO CAN DISCONNECT THIS ACCOUNT PHONE NEED TO PUSH PSR THEN DISCONNECT ACCOUNT PLEASE INCLUDE THESE NOTES IN EMAIL PSR ",Delegation

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. FOUND INCORRECT PSR-SENT REQ - CANCELED PSR AS INSTRUCTED PSR NOW STUCK IN BB COMP WITH ERROR ORA ERROR WORKIN NEXGEN MSS DD TASK COULD NOT COMPLET DD TASK ERROR ORA PHYSICAL CIRCUIT IS NOT ASSIGNED TO THE PORT NEED TO COMPLETE CANCELED PSR THEN DISCONNECT THIS SVC PHONE PLEASE INCLUDE THESE NOTES IN EMAIL PSR ",Training

" this delegated task is not ready to be completed because it has predecessor tasks in the Legacy domain that have not been completed PSR ",Training

" TN PSR ACCT PSR ",Delegation

" RECORD IS BEING DISCONNECTED, BUT SHOWS IN EXCEPTN QUEUE IN HWIN BUT THERE IS NO ERROR SHOWING ",Training

" ReturnCd - - ReturnText exchange_carrier_circuit_id, of --- already exists. Please change ecckt PSR WAS CANCELLED BY SOMEONE THIS CUSTOMER WILL BE DISCONNECTED PSR ",Delegation

"Alternate contact phone number for yourself, if applicable ORA- PCONDES TASK IN MODASGN QUEUE WAS NOT PROCESSED PROPERLY . PLEASE RE-OPEN PCONDES TASK AND COMPLETE AGAIN. PHONE -- HAVE REOPEND BOTH MODASGN AND VIRTBB STILL WON' CANCEL PSR ",Delegation

" an error occurred during the custom pre validation request, no data found -- PSR ",Training

"Having sequence issue in SYSPROD environment server host exdb Yesterday Delegation task are having issues and today the task are getting completed but the PSR UDF are not getting populated properly Legacy hWIN hostname ex-scan.windstream.com msld NGMSS hostname ex-scan.windstream.com mssd",

" The MSS FT TO BB is not found on the account TN - CLEANUP, CHG TO PIN IN MIROR PSR ",Data

" Unable to validate PSR, Telephone , Error MessageIN order TO add new Internet product you must disconnect the old one. PSR ",Training

" ReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message The customer has account status DISCONNECTED or PENDING DISCONNECT or SUSPENDED. Orders cannot be entered for this customer. Error Code The customer has account status DISCONNECTED or PENDING DISCONNECT or SUSPENDED. Orders cannot be entered for this customer. TN - CLEANUP - DISCONNECT PSR ",Training

" Unable to complete DELEGORD task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error MessageReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Unable to validate item Product group . Error Code Missing Data servItemID is required for DISCONNECT orderitem.Error Code Unable to validate item Product group . PSR ",Delegation

" STUCK IN BB COMP. PLEASE COMPLETE WHEN COMPLETE FIX TN -PINS & -SPEED MB . BONDED PSR ",Data

" Unable to complete BBDES task.Telephone,Error Message v_return_cd - v_return_textCould not assign connectionsORA- value too large for column ASAP.DESIGN_LAYOUT_REPORT.PRILOC_CITY actual , maximum PSR ",Delegation

" Unable to complete DELEGORD task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error MessageReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Unable to validate item Product group . Error Code Miscellaneous Error SP_PSRAPI_UPDATE_VALUES Invalid value. Entered value does not have character length of through .Error Code Unable to validate item Product group . PSR ",Delegation

" Unable to Validate PSR . Getting below error message. , Telephone , Error MessageThe product id is not compatible with loop length of PSR ",Training

" Unable to complete DELEGORD task.Telephone,Error MessageReturnCd - ReturnText Unable to update PSR Order in NGMSS. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Error thrown during Update order API execution Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Exception Thrown UpdateNGNPSROrderLogic. Message CaValueValidateManager CA value record being changed or deleted is not found. CA Virtual Broadband Service Category; CaUsageId ; CaValueId . PPATBB Error Code CaValueValidateManager CA value record being changed or deleted is not found. CA Virtual Broadband Service Category; CaUsageId ; CaValueId . PPATBB PSR ",Data

" Unable to complete DELEGOCT task . Getting below error message. Task in EXCEPTION Work Queue, Telephone, Error MessageReturnText exchange_carrier_circuit_id, of --- already exists. Please change ecckt PSR ",Training

" ReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Unable to process item PSR ",Data

" EXCEPTN QUEUE IN DELEGORD ReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Unable to validate item Product group . Error Code Missing Data servItemID is required for DISCONNECT orderitem.Error Code Unable to validate item Product group . PSR ",Delegation

" dd constraint PSR ",Training

" ERROR AN ERROR OCCURED DURING THE CUSTOM PREVALIDATION PROCEDURE- ORA -PLEASE COPY EXISTING PHYSICAL SERVICES RELATED PRODUCT PSR ",Training

" ORA- ERROR WHILE WORKING VCONDES. ERROR ORA- NO DATA FOUND ORA- NO DATA FOUND TN= PSR ",Data

" PSR locked by another user, Telephone , Error Message This order is already open by at PSR ",Training

" CAN NOT CHANGE PINS. SHOWING ANOTHER PSR STILL OPEN. BUT NOTHING IN ",Data

" Unable to complete DELEGORD task . Getting below error message. Task in EXCEPTION Work Queue, Telephone, Error MessageReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message The customer has account status DISCONNECTED or PENDING DISCONNECT or SUSPENDED. Orders cannot be entered for this customer. Error Code The customer has account status DISCONNECTED or PENDING DISCONNECT or SUSPENDED. Orders cannot be entered for this customer. PSR ",Data

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. -- PSR NSP task in FACPROV work queue. Error working NextGen MSS DD Task, Could not complete DD task, error,ORA- Not able to find customer location PSR ",Data

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. WILL NOT COMPLETE IN NEXTGEN ORA ERROR WHILE WORKING VCONDES ERROR ORA NO VALID PIN ASSIGNMENT FOR BONDED CUSTOMERS PHONE CHG PINS TO AND PLEASE INCLUDE THESE NOTES IN EMAIL PSR ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. THIS CURCIT HAS MULIPLE PIN IN DIFFERENT WIRE CENTER PSR ",Training

" Unable to complete DELEGOCT task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error MessageReturnText exchange_carrier_circuit_id, of --- already exists. Please change ecckt PSR ",Data

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. Unable to complete DD task PSR -LHDI ",Training

" Unable to complete DELEGOCT task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error MessageReturnCd - - ReturnText exchange_carrier_circuit_id, of --- already exists. Please change ecckt PSR ",Data

" UNABLE TO VALIDATE PSR Same TN or Customer has an Open Order in NextGen MSS. Please complete the Open Order in NextGen MSS and try to Validate in hWIN MSS. Unable to find customer acct or record in NextGen MSS PSR ",Delegation

" ERROR OCCURRED DURING PRE VALIDATION PROCEDURE-SAME TN OR CUSTOMER HAS AN OPEN ORDER IN NEXTGEN MSS PLEASE COMPLETE THE OPEN ORDER IN NEXTGEN MSS AND TRY TO VALIDATE IN HWIN MSS TN PSR ACCT PSR ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. ISR GROOM CIRCUIT REMOVAL ",Training

" ReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Unable to validate item Product group . Error Code Miscellaneous Error SP_PSRAPI_UPDATE_VALUES Invalid value. Entered value does not have character length of through .Error Code Unable to validate item Product group . PSR ",Delegation

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. - order stuck in NSP queue ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. there are circuit on this order that have not had dlr issued under this order received when trying to complete remasgn PSR ",Data

" Unable to complete DELEGORD task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error MessageReturnCd - ReturnText Delegated PSR Order has not passed NGMSS order validation. Correct the order validation error in NGMSS side and manually assign the provision plan. Exception thrown during Order API execution. Message Exception Thrown Execute Finish Order . Message nullError Code Error This service item has required labels with no values. Please add values.Error Code Error This service item has required labels with no values. Please add values.Error Code Error This service item has required labels with no values. Please add values.Error Code Error This service item has required labels with no values. Please add values.Error Code Error This service item has required labels with no values. Please add values.Error Code Error This service item has required labels with no values. Please add values. PSR ",Delegation

" TN= UNABLE TO VALIDATE PSR ERROR=AN ERROR OCCURRED DURING THE CUSTOM PREVALIDATION PROCEDURE,ORA , THE MSS AWGF IS NOT FOUND ON THE ACCOUNT PSR ",Data

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. TN= UNABLE TO COMPLETE MODASGN ERROR=ORA ERROR WHILE WORKING VCONDES, ERROR ORA , NO VALID PIN ASSIGNMENT FOR BONDED CUSTOMERS PSR ",Training

" SHOWS IN NSP READY QUEUE. BUT UNABLE TO LOCATE IN NSP OR EXCEPTION QUEUE IN NGMSS. NEED PUSHED THROUGH TO COMPLETE SO CAN DO MODASGN TASK TO SINGLE PIN . PSR ",Training

" Unable to complete DELEGORD task. Getting below error message. Task in EXCEPTN Work Queue, Telephone , Error MessageReturnCd - ReturnText Unable to create delegated PSR Order in NGMSS. Error returned from API. javax.xml.ws.soap.SOAPFaultException org.openuri.WSException_Exception Exception thrown during Order API execution. Message Exception Thrown Importing Order. Message Unable to validate item Product group . Error Code Missing Data servItemID is required for DISCONNECT orderitem.Error Code Unable to validate item Product group . PSR ",Delegation

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. THE DLRD ON ROW IS VIOLATING THE CONSTRAINT RECIEVED WHEN TRYING TO COMPLETE REMASGN PSR ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. NEED CKT HCGS PUA DS REMOVED FROM DS IPLTINMYK SBNDINDS SHOWS RECORD ISSUED FROM LEC CKT DISCOD GET ATTACHED ERROR. ",Data

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. UNABLE TO COMPLETE BB COMP PSR ",Training

" Unable to validate PSR, Telephone , Error MessageIN ORDER TO ADD NEW STPEED MB RANGE MB-MB YOU MUST DISCONNECT THE OLD ONE PSR ",Data

" Unable to complete BBDES task. Getting below error message.Task in EXCEPTN Work Queue, Telephone , Error Message v_return_cd - v_return_textORA- Not able to find customer location PSR ",Training

"Which MSS instance are you reporting this issue for MSS NextGen What type of issue are you reporting Another issue Description of problem attach screenshots of any errors, etc. error while working vcondes see attachment tn psr acct PSR ",Training

